,AdmArea,District,EDU_NAME,ID,LINK,OGRN,PASSED_NUMBER_FULL,PASSER_UNDER_160,PASSES_OVER_220,YEAR,global_id,signature_date,system_object_id
68,Центральный административный округ,район Арбат,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1331 «Молодая Иверия»,1725,{'global_id': 62782420},1027739747090,25,3,2,2015-2016,4697996,31.10.2016 09:28:58,1725
69,Зеленоградский административный округ,район Савёлки,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1557»,1726,"{'global_id': 4479046, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1557»'}",1027739482022,111,88,65,2015-2016,4697997,31.10.2016 09:26:24,1726
70,Южный административный округ,район Орехово-Борисово Северное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 878»,1730,"{'global_id': 4479451, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 878»'}",5147746450869,201,65,22,2015-2016,4697999,31.10.2016 09:12:36,1730
71,Восточный административный округ,район Вешняки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1028»,1681,"{'global_id': 4479189, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1028»'}",1157746070129,116,46,13,2015-2016,4698000,31.10.2016 09:22:30,1681
72,Восточный административный округ,район Восточное Измайлово,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1811 «Восточное Измайлово»,1798,"{'global_id': 4479437, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1811 «Восточное Измайлово»'}",5147746319320,316,114,38,2015-2016,4698001,31.10.2016 09:08:37,1798
73,Западный административный округ,район Кунцево,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1584»,3485,"{'global_id': 20974860, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1584»'}",1077763823268,112,60,42,2015-2016,4698003,31.10.2016 09:19:58,3485
74,Северный административный округ,Головинский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 727»,3419,"{'global_id': 14152755, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 727»'}",1037700004352,55,16,3,2015-2016,4698004,31.10.2016 09:33:40,3419
75,Юго-Восточный административный округ,район Выхино-Жулебино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1905»,3418,"{'global_id': 30538863, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1905»'}",1027700454506,83,43,22,2015-2016,4698005,31.10.2016 09:39:10,3418
76,Южный административный округ,район Царицыно,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1466 имени Надежды Рушевой»,3310,"{'global_id': 13793715, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1466 имени Надежды Рушевой»'}",1127747256515,85,44,11,2015-2016,4698006,31.10.2016 09:08:36,3310
77,Северный административный округ,Войковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2099»,3406,"{'global_id': 4478743, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2099»'}",5147746102422,50,26,8,2015-2016,4698009,31.10.2016 09:12:39,3406
78,Зеленоградский административный округ,район Крюково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1912 имени Бауыржана Момышулы»,5152,"{'global_id': 14235612, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1912 имени Бауыржана Момышулы»'}",1027739300280,70,52,20,2015-2016,4698010,31.10.2016 09:26:46,5152
