,EDU_NAME,PASSED_NUMBER_FULL,PASSER_UNDER_160,PASSES_OVER_220,lat,lon
195,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1399»,70,47,23,55.858726,37.410003
196,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2026»,84,60,26,55.717365,37.8836609
197,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 956»,97,40,20,55.867648,37.642153
198,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1541»,57,42,28,55.672938,37.504281
199,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1514,88,85,80,55.685069,37.526832
200,Государственное бюджетное общеобразовательное учреждение города Москвы «Немецкая школа № 1212»,34,31,14,55.8013232,37.4910808
201,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2031»,105,37,14,55.7101287,37.8909217
202,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1564 имени Героя Советского Союза А.П. Белобородова»,151,81,35,55.829372,37.3581934
203,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1547»,237,128,80,55.662287,37.776584
204,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2017»,64,21,2,55.689186,37.849831
205,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1450 «Олимп»,133,62,19,55.658647,37.6117739
206,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1569 «Созвездие»,270,101,40,55.619526,37.736062
207,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 536»,112,38,13,55.6443975,37.5968392
208,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Воробьевы горы»,133,71,32,55.7096958,37.5461654
209,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 121»,101,69,22,55.6698586,37.5491587
210,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 109»,98,76,48,55.6408909,37.475479
211,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 167 имени Маршала Л.А. Говорова»,145,81,36,55.9330854,37.5476495
